JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458078.022303,13.3398,0.0032,,CV,SPET,,139,143,X22688AFX,,0,1.490,Z,12.8027,13.1806,,ASASSN-17PF,AAVSO,STD,,,,
2458078.023588,13.3399,0.0037,,CV,SPET,,139,143,X22688AFX,,0,1.487,Z,12.7985,13.1844,,ASASSN-17PF,AAVSO,STD,,,,
2458078.024884,13.3332,0.0042,,CV,SPET,,139,143,X22688AFX,,0,1.484,Z,12.8035,13.1919,,ASASSN-17PF,AAVSO,STD,,,,
2458078.026181,13.3420,0.0042,,CV,SPET,,139,143,X22688AFX,,0,1.481,Z,12.7964,13.1767,,ASASSN-17PF,AAVSO,STD,,,,
2458078.027454,13.3365,0.0043,,CV,SPET,,139,143,X22688AFX,,0,1.478,Z,12.7983,13.1777,,ASASSN-17PF,AAVSO,STD,,,,
2458078.028738,13.3285,0.0044,,CV,SPET,,139,143,X22688AFX,,0,1.475,Z,12.8012,13.1835,,ASASSN-17PF,AAVSO,STD,,,,
2458078.030035,13.3354,0.0043,,CV,SPET,,139,143,X22688AFX,,0,1.472,Z,12.7960,13.1857,,ASASSN-17PF,AAVSO,STD,,,,
2458078.031319,13.3383,0.0042,,CV,SPET,,139,143,X22688AFX,,0,1.469,Z,12.7997,13.1788,,ASASSN-17PF,AAVSO,STD,,,,
2458078.032639,13.3298,0.0040,,CV,SPET,,139,143,X22688AFX,,0,1.466,Z,12.8011,13.1803,,ASASSN-17PF,AAVSO,STD,,,,
2458078.033912,13.3365,0.0042,,CV,SPET,,139,143,X22688AFX,,0,1.463,Z,12.7953,13.1900,,ASASSN-17PF,AAVSO,STD,,,,
2458078.035197,13.3452,0.0042,,CV,SPET,,139,143,X22688AFX,,0,1.460,Z,12.7935,13.1834,,ASASSN-17PF,AAVSO,STD,,,,
2458078.03647,13.3461,0.0041,,CV,SPET,,139,143,X22688AFX,,0,1.458,Z,12.7931,13.1818,,ASASSN-17PF,AAVSO,STD,,,,
2458078.037766,13.3371,0.0042,,CV,SPET,,139,143,X22688AFX,,0,1.455,Z,12.7969,13.1788,,ASASSN-17PF,AAVSO,STD,,,,
2458078.039039,13.3312,0.0043,,CV,SPET,,139,143,X22688AFX,,0,1.452,Z,12.7984,13.1798,,ASASSN-17PF,AAVSO,STD,,,,
2458078.040324,13.3329,0.0042,,CV,SPET,,139,143,X22688AFX,,0,1.450,Z,12.7991,13.1889,,ASASSN-17PF,AAVSO,STD,,,,
2458078.041644,13.3410,0.0042,,CV,SPET,,139,143,X22688AFX,,0,1.447,Z,12.7885,13.1812,,ASASSN-17PF,AAVSO,STD,,,,
2458078.04294,13.3389,0.0041,,CV,SPET,,139,143,X22688AFX,,0,1.444,Z,12.7976,13.1755,,ASASSN-17PF,AAVSO,STD,,,,
2458078.044294,13.3373,0.0042,,CV,SPET,,139,143,X22688AFX,,0,1.442,Z,12.7919,13.1685,,ASASSN-17PF,AAVSO,STD,,,,
2458078.045579,13.3359,0.0041,,CV,SPET,,139,143,X22688AFX,,0,1.439,Z,12.7921,13.1864,,ASASSN-17PF,AAVSO,STD,,,,
2458078.046875,13.3233,0.0042,,CV,SPET,,139,143,X22688AFX,,0,1.437,Z,12.7974,13.1774,,ASASSN-17PF,AAVSO,STD,,,,
2458078.04816,13.3299,0.0039,,CV,SPET,,139,143,X22688AFX,,0,1.434,Z,12.7947,13.1805,,ASASSN-17PF,AAVSO,STD,,,,
2458078.049456,13.3376,0.0042,,CV,SPET,,139,143,X22688AFX,,0,1.432,Z,12.7948,13.1817,,ASASSN-17PF,AAVSO,STD,,,,
